search_keyword,company_name,title,link,location,location_detail,experience_required,education_required,employment_type,deadline,job_sector,salary_info,description,tech_stack,benefits,crawled_at
Python 개발자,법무법인와이케이,[국내TOP7로펌/법무법인YK] 강남본사 공개채용(비대면 상담/추심/경영지원/기획) 채용건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482610&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입·경력,학력무관,정규직,~ 01/25(토),"전산회계, 회계사, 관리회계, 기업회계, 세무회계 외                    수정일 24/11/28",금융·보험 지원 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:27
Python 개발자,(주)소만사,시스템 인프라 기술지원 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525139&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 영등포구,,경력2년↑,초대졸↑,정규직,~ 12/15(일),"Python, Java, 솔루션, Linux, 기술지원 외                    수정일 24/12/05",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:27
Python 개발자,에릭슨엘지(주),[Ericsson-LG] SW Developer (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519905&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 금천구,,신입·경력,대졸↑,정규직,~ 01/02(목),"Python, C++, Java, 솔루션, Linux 외                    등록일 24/12/03",평균연봉 상위 10%,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:27
Python 개발자,현대오토에버(주),차량SW · ICT · 경영지원 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47669139&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,경력,학력무관,정규직·계약직,상시채용,"Python, C++, Java, AWS, 솔루션 외                    수정일 24/03/12",IT개발·데이터 지원 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523378&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입,학력무관,인턴직,~ 02/02(일),"Python, Java, AWS, 솔루션, 웹개발 외                    등록일 24/12/04",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(주)더존비즈온,AI & MLOps 플랫폼  AI 개발/엔지니어 및 MLOps 개발자 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381445&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 중구,,경력무관,학력무관,정규직,상시채용,"Python, Java, 딥러닝, 솔루션, 웹개발 외                    수정일 24/11/19",IT개발·데이터 스크랩 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(주)더캐리,2024년 (주)더캐리 IT인력(정보혁신부) 전 부문 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465265&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,경력무관,대졸↑,정규직,~ 12/31(화),"Python, Java, 솔루션, 웹개발, 데이터분석가 외                    등록일 24/11/25",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356995&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입,대졸↑,인턴직,~ 01/06(월),"Python, AWS, 머신러닝, 데이터분석가, 데이터엔지니어 외                    수정일 24/11/13",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,엔셀 주식회사,IT사업부 JAVA개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525003&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,경기 성남시 분당구,,신입·경력,대졸↑,정규직,~ 12/31(화),"Python, C++, Java, 솔루션, 웹개발 외                    등록일 24/12/04",IT개발·데이터 스크랩 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(주)플그림,2024 하반기 개발직군 경력직 채용[커머스서비스개발/AA],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432172&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 성동구,,경력3년↑,대졸↑,정규직,~ 12/11(수),"Python, C++, Java, AWS, Linux 외                    수정일 24/11/22",상품기획·MD 지원 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
