search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,location_detail,salary,deadline
HR매니저,(주)인플루디오,[포카마켓] HR/총무 파트 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534750&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:03,서울,경력무관,학력무관,정규직,"(주)인플루디오, [포카마켓] HR/총무 파트 매니저, 경력:경력무관, 학력:학력무관, 면접 후 결정, 마감일:채용시, 홈페이지:infludeo.com","[""종합포털"", "" 총무·법무·사무"", "" 포털·인터넷·컨텐츠""]",서울 마포구,협의 후 결정,채용시
HR매니저,(주)씨아이템프러리,문래역-씨아이템프러리 본사 잡매니저(HR팀) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411657&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:08,서울,신입,학력무관,정규직,"(주)씨아이템프러리, 문래역-씨아이템프러리 본사 잡매니저(HR팀) 채용, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-15, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-15
HR매니저,(주)씨아이템프러리,[정규직/문래역] 씨아이템프러리 본사 잡매니저(HR팀) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440476&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:09,서울,신입,학력무관,정규직,"(주)씨아이템프러리, [정규직/문래역] 씨아이템프러리 본사 잡매니저(HR팀) 채용, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-20, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-20
HR매니저,(주)씨아이템프러리,[정규직] 씨아이템프러리 본사 잡매니저(HR팀/인사/채용) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453032&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:10,서울,신입,학력무관,정규직,"(주)씨아이템프러리, [정규직] 씨아이템프러리 본사 잡매니저(HR팀/인사/채용) 모집, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-22, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-22
HR매니저,(주)인퍼블릭,[군포/3400만] 인퍼블릭 본사 아웃소싱 잡매니저 (HR인사) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404590&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:11,경기,경력무관,학력무관,정규직,"(주)인퍼블릭, [군포/3400만] 인퍼블릭 본사 아웃소싱 잡매니저 (HR인사) 채용, 경력:경력무관, 학력:학력무관, 연봉:3,400 만원, 마감일:2024-12-14, 홈페이지:https://inpublic.kr","[""아웃소싱"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 시설관리·경비·용역""]",경기 군포시,3400만원,2024-12-14
HR매니저,(주)아데코코리아,[외국계 데이터센터] HR Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535151&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:12,서울,경력6년↑,대졸↑,정규직,"(주)아데코코리아, [외국계 데이터센터] HR Manager, 경력:경력 6년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-20, 홈페이지:www.adecco.co.kr","[""의류매장"", "" 잡화매장"", "" 구두·신발"", "" 인사·노무·HRD"", "" 판매(상품품목별)""]",서울 강남구,협의 후 결정,2024-12-20
HR매니저,(주)맨파워코리아,[경북 경주] 외국계 HR Manager 차부장급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498270&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:13,경북,경력10년↑,학력무관,정규직,"(주)맨파워코리아, [경북 경주] 외국계 HR Manager 차부장급, 경력:경력 10년 이상, 학력:학력무관, 연봉:9,000 만원, 마감일:채용시, 홈페이지:www.manpower.co.kr","[""자동차부품"", "" 인사·노무·HRD"", "" 기계·설비·자동차""]",경북 경주시,9000만원,채용시
HR매니저,주식회사 윌로그,[윌로그] 인사기획/조직문화(HR Manager) 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49367626&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:13,서울,경력 1~5년,학력무관,정규직,"주식회사 윌로그, [윌로그] 인사기획/조직문화(HR Manager) 담당자 채용, 경력:경력 1~5년, 학력:학력무관, 면접 후 결정, 마감일:2025-01-07, 홈페이지:willog.io/Home/Index","[""소프트웨어개발"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 기획·전략"", "" 솔루션·SI·ERP·CRM""]",서울 강남구,협의 후 결정,2025-01-07
HR매니저,(주)이큐브랩,Global HR Manager (경력무관) [Haulla],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426208&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:14,서울,신입·경력,대졸↑,정규직,"(주)이큐브랩, Global HR Manager (경력무관) [Haulla], 경력:신입/경력, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-18, 홈페이지:http://www.ecubelabs.com","[""기계"", "" 인사·노무·HRD"", "" 기계·설비·자동차""]",서울 구로구,협의 후 결정,2024-12-18
HR매니저,아이헤이트플라잉버그스(주),HR Manager(경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356679&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:15,서울,경력 3~5년,대졸↑,정규직·계약직,"아이헤이트플라잉버그스(주), HR Manager(경력) 채용, 경력:경력 3~5년, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2025-01-06, 홈페이지:https://careers.mildang.kr/","[""인터넷교육"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 포털·인터넷·컨텐츠""]",서울 영등포구,협의 후 결정,2025-01-06
